,WHO region,Africa,Americas,South-East Asia,Europe,Eastern Mediterranean,Western Pacific,(WHO) Global
Measles - number of reported cases,2018,125426,16327,34741,82523,64722,29497,353236
Measles - number of reported cases,2017,72603,895,28474,24356,36434,10695,173457
Measles - number of reported cases,2016,36269,97,27530,4363,6275,57879,132413
Measles - number of reported cases,2015,52758,611,48888,25965,21418,65176,214816
Measles - number of reported cases,2014,73914,1966,42899,14176,18080,131043,282078
Measles - number of reported cases,2013,171178,491,24564,26346,20884,31844,275307
Measles - number of reported cases,2012,108004,143,31582,27379,34504,10764,212376
Measles - number of reported cases,2011,195620,1348,69546,37101,34667,21050,359332
Measles - number of reported cases,2010,199174,247,54228,30625,10072,49460,343806
Measles - number of reported cases,2009,83479,89,84356,7499,36605,66609,278637
Measles - number of reported cases,2008,37012,206,72547,8879,12120,147987,278751
Measles - number of reported cases,2007,76410,176,73545,6936,15670,112294,285031
Measles - number of reported cases,2006,99420,226,98124,53344,23303,103159,377576
Measles - number of reported cases,2005,316219,85,88973,37338,15069,128017,585701
Measles - number of reported cases,2004,220180,108,112041,29510,59804,91763,513406
Measles - number of reported cases,2003,403016,119,94598,28203,52110,101810,679856
Measles - number of reported cases,2002,288340,2579,76912,46718,42616,129306,586471
Measles - number of reported cases,2001,491989,548,81771,58364,41103,175398,849173
Measles - number of reported cases,2000,520102,1754,78558,37421,38592,177052,853479
Measles - number of reported cases,1999,486660,3209,47741,38811,71562,104424,752407
Measles - number of reported cases,1998,373149,14330,62759,77872,89478,76878,694466
Measles - number of reported cases,1997,299623,53567,115844,215767,33085,107787,825673
Measles - number of reported cases,1996,484914,1910,102205,178345,20249,82595,870218
Measles - number of reported cases,1995,362925,6478,100900,154107,20607,75374,720391
Measles - number of reported cases,1994,420193,23784,152106,190910,24578,115237,926808
Measles - number of reported cases,1993,395025,57400,141301,341982,50758,157479,1143945
Measles - number of reported cases,1992,581125,100741,168772,330546,89758,210250,1481192
Measles - number of reported cases,1991,446517,157602,211085,304166,64177,186696,1370243
Measles - number of reported cases,1990,481204,218579,224925,185818,59058,155490,1325074
Measles - number of reported cases,1989,561896,137417,443014,374023,83776,222264,1822390
Measles - number of reported cases,1988,604244,133244,292916,289609,126977,216950,1663940
Measles - number of reported cases,1987,641057,151396,319049,145003,171164,255178,1682847
Measles - number of reported cases,1986,676757,227452,201190,422573,171208,379516,2078696
Measles - number of reported cases,1985,1142002,199744,244113,373610,229781,630303,2819553
Measles - number of reported cases,1984,1076106,202758,302042,336329,218335,891403,3026973
Measles - number of reported cases,1983,1346883,137410,208154,597455,302254,993945,3586101
Measles - number of reported cases,1982,1342685,153746,258666,434521,331721,1102419,3623758
Measles - number of reported cases,1981,1413184,252378,305787,460966,453409,1192731,4078455
Measles - number of reported cases,1980,1240993,257790,199535,492660,341624,1319640,3852242